STATE,SOWNING SEASON,TEMP(°C),SOIL  TYPE,CROP'S WATER NEED(mm),COST OF PRODUCTION(Rs/Qtl),YIELD(Qtl/ha),CROP TYPE
MP,WINTER,20,LOAM,900,400,40,DRY CHILLI
MP,WINTER,20,CLAY,850,450,42,DRY CHILLI
MP,SPRING,25,LOAM,910,500,43,DRY CHILLI
MP,SPRING,25,SANDY,1000,490,45,DRY CHILLI
UP,WINTER,22,LOAM,860,590,39,DRY CHILLI
UP,SPRING,26,CLAY,890,550,40,DRY CHILLI
RJ,WINTER,21,LOAM,920,560,40,DRY CHILLI
RJ,SPRING,27,SANDY,1030,490,35,DRY CHILLI
GJ,WINTER,23,LOAM,890,540,38,DRY CHILLI
GJ,SPRING,25,CLAY,915,520,39,DRY CHILLI
MP,MONSOON,24,LOAM,500,1100,25,SOYABEAN
MP,MONSOON,24,LOAM,540,1150,27,SOYABEAN
MP,MONSOON,23,LOAM,499,1120,28,SOYABEAN
MP,MONSOON,23,LOAM,567,1140,25,SOYABEAN
MP,SUMMER,29,LOAM,589,1200,26,SOYABEAN
RJ,MONSOON,25,SANDY,700,1050,23,SOYABEAN
RJ,MONSOON,25,SANDY,680,1080,24,SOYABEAN
RJ,MONSOON,24,LOAM,542,1090,23,SOYABEAN
GJ,SUMMER,29,LOAM,601,1150,24,SOYABEAN
GJ,MONSOON,25,SANDY,690,1200,25,SOYABEAN
UP,AUTUMN,22,SANDY,2490,220,950,SUGARCANE
UP,AUTUMN,23,CLAY,1600,230,960,SUGARCANE
UP,AUTUMN,24,SANDY,2300,240,1000,SUGARCANE
UP,SPRING,22,CLAY,1650,235,1050,SUGARCANE
UP,SPRING,23,SANDY,2350,240,1060,SUGARCANE
GJ,AUTUMN,26,CLAY,1810,300,940,SUGARCANE
GJ,AUTUMN,27,SANDY,2450,270,970,SUGARCANE
GJ,AUTUMN,26,CLAY,2000,260,980,SUGARCANE
RJ,AUTUMN,27,SANDY,2500,250,1010,SUGARCANE
MP,AUTUMN,25,CLAY,1700,270,920,SUGARCANE
GJ,SUMMER,30,SANDY,600,3200,26,GROUNDNUT
GJ,SUMMER,29,SANDY,590,3150,23,GROUNDNUT
GJ,SUMMER,30,CLAY,410,3170,25,GROUNDNUT
GJ,SUMMER,30,CLAY,450,3190,27,GROUNDNUT
RJ,SUMMER,30,SANDY,600,3240,23,GROUNDNUT
RJ,SUMMER,30,SANDY,580,3220,21,GROUNDNUT
RJ,SUMMER,29,CLAY,500,3230,20,GROUNDNUT
MP,SUMMER,29,CLAY,475,3180,23,GROUNDNUT
MP,SUMMER,29,SANDY,599,3205,24,GROUNDNUT
UP,SUMMER,30,CLAY,460,3195,23,GROUNDNUT
RJ,AUTUMN,30,SANDY,610,5000,80,GARLIC
RJ,AUTUMN,29,SANDY,590,5100,85,GARLIC
RJ,AUTUMN,30,SANDY,550,5150,75,GARLIC
RJ,SUMMER,30,SANDY,520,4950,70,GARLIC
UP,AUTUMN,25,SANDY,580,5050,65,GARLIC
UP,AUTUMN,26,SANDY,575,4990,70,GARLIC
UP,SUMMER,25,SANDY,540,5110,80,GARLIC
GJ,SUMMER,26,SANDY,560,5080,75,GARLIC
GJ,AUTUMN,26,SANDY,600,5090,70,GARLIC
UP,WINTER,10,CLAY,450,1340,60,WHEAT
UP,PRE-WINTER,11,CLAY,500,1300,65,WHEAT
UP,PRE-WINTER,13,LOAM,600,1380,63,WHEAT
UP,WINTER,9,CLAY,500,1470,65,WHEAT
MP,AUTUMN,15,CLAY,630,1400,64,WHEAT
MP,AUTUMN,17,LOAM,540,1330,61,WHEAT
MP,PRE-WINTER,12,LOAM,480,1350,69,WHEAT
RJ,WINTER,9,CLAY,510,1390,67,WHEAT
RJ,PRE-WINTER,14,CLAY,650,1345,66,WHEAT
GJ,PRE-WINTER,18,CLAY,570,1430,62,WHEAT
RJ,SPRING,23,LOAM,450,980,22,MILLET
RJ,SPRING,20,LOAM,470,1000,23,MILLET
RJ,SUMMER,33,SANDY,600,1100,24,MILLET
RJ,MONSOON,31,SILT,610,1020,24,MILLET
UP,SUMMER,30,SANDY,650,1050,21,MILLET
UP,SUMMER,29,SANDY,580,950,28,MILLET
MP,SPRING,24,LOAM,490,930,29,MILLET
MP,SPRING,26,SANDY,590,900,25,MILLET
GJ,SUMMER,35,SANDY,620,990,24,MILLET
GJ,MONSOON,32,SILT,550,1090,26,MILLET
GJ,MONSOON,25,SANDY,1250,4600,20,COTTON
GJ,MONSOON,19,LOAM,760,4650,23,COTTON
GJ,MONSOON,20,LOAM,820,4500,22,COTTON
GJ,SUMMER,28,SANDY,1190,4550,21,COTTON
GJ,SUMMER,27,SANDY,1280,4680,25,COTTON
GJ,MONSOON,22,LOAM,850,4700,22,COTTON
MP,SUMMER,25,LOAM,900,4630,26,COTTON
MP,SUMMER,26,SANDY,1150,4610,21,COTTON
RJ,MONSOON,23,SILT,1000,4590,28,COTTON
RJ,MONSOON,25,SANDY,1050,4660,23,COTTON
MP,SPRING,22,CLAY,300,5300,4,GREENGRAM
MP,SPRING,23,CLAY,320,5400,5,GREENGRAM
MP,SUMMER,25,SANDY,430,5350,4,GREENGRAM
MP,AUTUMN,20,LOAM,310,5380,5,GREENGRAM
UP,SUMMER,23,SANDY,400,5410,5,GREENGRAM
UP,SPRING,22,CLAY,350,5420,5,GREENGRAM
UP,MONSOON,20,LOAM,305,5390,5,GREENGRAM
GJ,SPRING,24,CLAY,360,5340,5,GREENGRAM
GJ,SUMMER,25,SANDY,440,5330,4,GREENGRAM
GJ,AUTUMN,23,LOAM,325,5420,4,GREENGRAM
UP,MONSOON,22,SILT,1220,1550,50,RICE
UP,SUMMER,33,CLAY,1100,1530,48,RICE
UP,WINTER,20,CLAY,1090,1500,54,RICE
UP,SUMMER,30,SILT,1200,1600,56,RICE
MP,MONSOON,29,LOAM,1000,1580,55,RICE
MP,MONSOON,27,LOAM,1050,1560,53,RICE
MP,SUMMER,31,SILT,1300,1610,58,RICE
GJ,MONSOON,29,CLAY,1350,1555,52,RICE
GJ,MONSOON,30,CLAY,1250,1540,55,RICE
RJ,MONSOON,28,LOAM,1110,1590,59,RICE
